activation,hidden,lr,epoch,train_loss,val_loss,epoch_flops,total_flops,gflops,epoch_time
gelu,64,0.01,98,0.29075792945558665,0.31715049978965176,856865150,83972784700,83.9727847,0.1919096999336034
gelu,64,0.01,99,0.290564126565836,0.31723999527519714,856865150,84829649850,84.82964985,1.8379784000571817
gelu,64,0.01,100,0.2903705204900956,0.3173315360291289,856865150,85686515000,85.686515,1.8029910000041127
tanh,64,0.01,1,0.8758515041568137,0.5617856794871848,842277822,842277822,0.842277822,2.3589265001937747
tanh,64,0.01,2,0.5586266739070347,0.48481496212212916,842277822,1684555644,1.684555644,0.2535902999807149
tanh,64,0.01,3,0.47892656109490905,0.4547186987922139,842277822,2526833466,2.526833466,0.23325990000739694
tanh,64,0.01,4,0.44773216994794024,0.423726182636857,842277822,3369111288,3.369111288,0.10005849995650351
tanh,64,0.01,5,0.41564996141039784,0.39587179984536974,842277822,4211389110,4.21138911,0.11487429984845221
tanh,64,0.01,6,0.38626723016204695,0.37956933364100814,842277822,5053666932,5.053666932,0.5021897999104112
tanh,64,0.01,7,0.3680595053729412,0.3755954730507984,842277822,5895944754,5.895944754,0.09873680002056062
tanh,64,0.01,8,0.36213579356966347,0.3785295101356094,842277822,6738222576,6.738222576,0.0846601000521332
tanh,64,0.01,9,0.36347126265643864,0.3816834752643302,842277822,7580500398,7.580500398,0.08358069998212159
tanh,64,0.01,10,0.3656297085589727,0.3805723844554266,842277822,8422778220,8.42277822,0.08096859999932349
tanh,64,0.01,11,0.3641984601759,0.3742845128857265,842277822,9265056042,9.265056042,0.08230370003730059
tanh,64,0.01,12,0.3582033782266915,0.3647619471825126,842277822,10107333864,10.107333864,0.08107800013385713
tanh,64,0.01,13,0.34943631598543756,0.35503117676631424,842277822,10949611686,10.949611686,0.13681360008195043
tanh,64,0.01,14,0.3407150955317282,0.3475882877224436,842277822,11791889508,11.791889508,0.0835174999665469
tanh,64,0.01,15,0.3343039896402167,0.3434943603749183,842277822,12634167330,12.63416733,0.08263249997980893
tanh,64,0.01,16,0.33106766341074806,0.34227772094813824,842277822,13476445152,13.476445152,0.08206679997965693
tanh,64,0.01,17,0.33042540794316755,0.34250955805277716,842277822,14318722974,14.318722974,0.09223770000971854
tanh,64,0.01,18,0.3309346666850527,0.34271261016891,842277822,15161000796,15.161000796,0.3063151999376714
tanh,64,0.01,19,0.3311684365088183,0.342109422600764,842277822,16003278618,16.003278618,0.08137740008533001
tanh,64,0.01,20,0.3304238974995852,0.34082759953150177,842277822,16845556440,16.84555644,0.08251310000196099
tanh,64,0.01,21,0.3289015988035706,0.3395354773510041,842277822,17687834262,17.687834262,0.1400578001048416
tanh,64,0.01,22,0.32733235049110065,0.3388049005200233,842277822,18530112084,18.530112084,0.08127259998582304
tanh,64,0.01,23,0.3263408893027362,0.3386321792182753,842277822,19372389906,19.372389906,0.08185070008039474
tanh,64,0.01,24,0.3259678890789624,0.3384510174206823,842277822,20214667728,20.214667728,0.0822537001222372
